TerminalId,TerminalName,Country,Port,DataStatus,TerminalType,LastModifiedDate,LastModifiedUTCDate,LastModifiedUser,MaxLOA,Breadth,MaxDisplacement,AirDraft,MaxDraft,DepthatBerth,Berthing,BerthingSide,BerthingSpeedRestriction,MaximumTransitSpeedWater,VisibilityRestriction,TidalRange,WaterDensity,ShoreTankCapacityRestriction,ArrivalSaturateVapourPressure,ArrivalTemperature,DischargeLoadingRatesVapour,DischargeLoadingRatesLiquid,ManifoldArrangement,FlangeDetails,FlangeSurfaceFinish,FlangeThickness,SDPsBobbins,GasketsShipOrShore,StrainerRequirements,OperatingEnvelopeLoadingArm,PrimarySecondary,SpecificAdaptor,TensionMonitoringSystem,GangwayLocation,GangwayLocationAftForward,GangwayFootprint,Basket,PersonalTransferNotes,PilotBoardingLocation,MooringArrangement,SpecificMooringRequirements,FirewiresRequired,FenderEnergyAbsorption,AdditionalTrainingRequirements,CrewLeaveChange,SpecificTugRequirements,TotalBollardPullAvailable,AnchorageAvailable,BunkeringStoresGarbage,NoticeofReadiness,COURequired,AdditionalPremium,CoolDownGasUp,OtherRestrictionsRequirements,LocalCharts,Notes,PilotBoardingSpecificRequirement,PurgingDrainingRequirement,ExposedTerminal,PhotoPath,Secondary,Tertiary,OtherSslRequirements,ApproveStatus,NOxSOxCO2,Garbage,BallastWater,BilgeSewage,NewCategory,EditLog,CategoryEditLog,TextField1,TextField2,Lat,Lng,CompatibleVessels
63,Hazira,India,Hazira,In operation,Discharge,/Date(1749201477355)/,/Date(1720084389218)/,malcolm.mcnaught@seapeak.com,317,50,"147,000",N/A,12.3,13,Day,Starboard,0.16,Unspecified,1, Low; -0.32 High; 8.68,1020.0 - 1023.0,"320,000",1160 (absolute),N/A,"11,000","11,000",L-V-L,16” LVL ANSI 150 ,SIGTTO standard,SIGTTO standard,Spool pieces required,By shore,60,16.9 - 33.8,Optical Fiber,Unspecified,Yes,20,Aft,3 x 3,No,To be advised later,20° 54.000' N 072° 35.000' E,16 lines (3/3/2-2/3/3),No specific requirements,OCIMF,BD1 and BD4;792 kNm and 968 kN per element.        BD2 and BD3;1108 kNm and 1355 kN per element.,None,Crew leave is permitted at the terminal subject to compliance with the provisions of the Port Facility Security Plan.  The Master should liaise with the ship’s agent for arranging all the necessary permissions from Government authorities and transport to and from the terminal.,4 tugs for berthing and 3 for unberthing,"250 (2 x 70 T ASD tugs, 2 x 55 T ASD tugs)",Yes,No bunkering. Stores allowed and garbage collection available,Unspecified,Yes,2,No,There are no constraints and night operations may be carried as per CPT & Terminal agreement. ,No,"CAUTION - Check latest rig locations at https://hydrobharat.gov.in/ - Hwever please be aware of inaccurate or uncharted rigs on the approaches to Hazira.


QFLEX OPTIMOOR new study to be done : New mooring lines Amsteel Blue",No specific requirements,Unspecified,No,/Uploads/terminal_63.jpg,Electrical,Not applicable,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-151331""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-151331""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-151331""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-151331""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-151331""},{""classification"":""TerminalDetails"",""name"":""Notes"",""value"":""QFLEX OPTIMOOR new study to be done : New mooring lines Amsteel Blue"",""modifiedTime"":""20240704-101309""}]",[],"Best endeavours to be completed for Teekay vessels as follows: 

Clause 7. (f) – There is no exception for the sole negligence of the Company/Terminal and owners.  Please delete the words “regardless of” from the 2nd line and replace by “except to the extent of”.  

Clause 8. – Liability for wreck removal is covered if and when there is a formal order from the relevant local authority.  Otherwise, there is no exception for the sole negligence of the Company/Terminal. Please insert the words “, except to the extent caused by any act, omission, fault or neglect on part of the Company or Company Representatives,” after “and the Owner shall” in the penultimate line.  

Also refer to attachment uploaded in documents tab with description ‘Details of best endeavours to be completed for Teekay vessels
",,21.09486111,72.61797222,
215,Sabine Pass East,USA,Sabine Pass,In operation,Discharge / Load,/Date(1748877308381)/,/Date(1747911328509)/,michael.youel@seapeak.com,348,55,"187,500",N/A,12.19,13.7,Day,Port,0.15,12kn to Sabine Pass entrance jetty then onwards to basin at 6kn. Tidal flow of 1.1kn flood and 1.6kn ebb,Not less than 2 Miles Visibility between the SB and the Terminal.,Low; 0.55 High; 1.07. ,Fresh water,"800,000","70 - 115, but preferable less than 90 mbg (1.3 psig)",Unspecified,"12,024","12,000",L-L/V-V-L as referenced from the stern when the bow is pointed towards the Sabine-Neches waterway’s Pass Channel,"16"" ANSI 150 ",Flat Face,SIGTTO standard,3L + 1V + PERCs + QC/DC 16 inch dia Couplings,By shore,60,Unspecified,Electrical,Not required ,Yes,18.91,Aft,1.09 x 2.05,No,To be advised later,"At the Sea Buoy; 29°-25’ North, 93°-40’ West, or at the 29/30 buoy or anchorage.",No specific requirements,None,Yes,Unspecified,None,"Crew change and shore leave are permitted, subjectto the approval of the U.S. Coast Guard, Bureau of Customs and BorderProtection",3/4 tugs for berthing and unberthing,420T (6 x 70TBP Z-drive tractor Tugs),Yes,No bunkering. Stores allowed. Garbage collection available through agents,In accordance with the applicable Customer’s Agreement or applicable Other Agreement’s instructions,Yes,0,Yes,Request vessel to arrive with lines cold. Vessel may not continue in current exceeding 1kn at Buoy 34 or in channel when current exceeds 2kn,"US Charts required. For depths during the transit, charts can be downloaded online. http://www.swg.usace.army.mil/Missions/Navigation/HydrographicSurveys/Sabine-Neches-Waterway/","Terminal operated by Cheniere.
Even though a conventional COU is not required, a PLA is to be signed by the Master.
Reported to contain high levels of heavier hydrocarbons C6+ which may not be included in the Certificate of Quality - potential blockage of mist separator/liquid separator and LD suction strainers particularly associated with cryogenic compressors. Refer to FN0932G Technical Fleet Notice - Heavy Hydrocarbon Effects on Cargo Equipment. If nominated for loading at this port, Masters must advise Vessel Manager and Commercial Operator.",Yes. As per Terminal Manual Rev6. Current - Transit not to commence if the cross current measured at Buoy No 34 exceeds 1.1 knots. Maneuvering not to take place if current outside the entrance to the Terminals pocket basin exceeds 1.8 knots when on ebb and 2.0 knots when on flood. Wind - LNGCs should not commence the transit to or from the Terminal during sustained winds of more than thirty (30) knots as measured at the SB Buoy and twenty-five (25) knots as measured at the SPL terminal.,Unspecified,No,/Uploads/terminal_215_637890870791686487.png,Not applicable,Not applicable,TBC,Yes,To be advised later,Via launch on offshore side,Deballasting of untreated or un-exchanged ballast water is generally not permitted at the Terminal or anywhere else within U.S. waters.,The discharge of bilge effluents and treated or untreated sewage into the waters in and around the Terminal’s berth pocket basin is prohibited.,[],"[{""classification"":""TerminalDetails"",""name"":""TerminalName"",""value"":""Sabine Pass South"",""modifiedTime"":""20220525-134927""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20220505-125018""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":""To be advised later"",""modifiedTime"":""20220727-095125""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":""To be advised later"",""modifiedTime"":""20220727-095125""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":""To be advised later"",""modifiedTime"":""20220727-095125""},{""classification"":""TerminalDetails"",""name"":""PhotoPath"",""value"":""/Uploads/terminal_215_636334793961259253.JPG"",""modifiedTime"":""20220525-135119""},{""classification"":""TerminalDetails"",""name"":""MaxDraft"",""value"":""12.2"",""modifiedTime"":""20220727-093819""},{""classification"":""TerminalDetails"",""name"":""PilotBoardingLocation"",""value"":""At the Sea Buoy; 29°-25’ North, 93°-40’ West"",""modifiedTime"":""20220727-093819""},{""classification"":""TerminalDetails"",""name"":""TotalBollardPullAvailable"",""value"":""280 (4 x 70TBP Z-drive tractor Tugs)"",""modifiedTime"":""20220727-093819""},{""classification"":""TerminalDetails"",""name"":""TerminalType"",""value"":""Load"",""modifiedTime"":""20220727-095307""},{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-144836""},{""classification"":""TerminalDetails"",""name"":""Notes"",""value"":""Terminal operated by Cheniere.\r\nEven though a conventional COU is not required, a PLA is to be signed by the Master."",""modifiedTime"":""20250522-115528""}]",[],PLA and TSA required,,29.74647222,-93.86927778,
146,Ras Laffan LNG 4 ,Qatar,Ras Laffan,In operation,Load,/Date(1748877300891)/,/Date(1712663106987)/,michael.youel@seapeak.com,350,55,"195,000",N/A,12.5,13.5,Day/Night,Port,0.12,Unspecified,Unspecified,Low; -0.76 High; 0.97,1025,"1,460,000",100-110,-130,"38,700",4667 (per arm),L-L-V-L,"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Not required,By shore,60,14.0 - 27.27,Optical Fiber,Not required ,Yes,18,Aft,Unspecified,No,To be advised later,1 mile of fairway buoy,No specific requirements,11m tails,Yes,345.7,None,All onsigning/offsigning ship crews are allowed to access the berths however required to report and log in their entry with security guard.,4 tugs for berthing and unberthing,(4 x 55/60T & 4 x 80T BP ASD Tugs),Yes,Bunkering allowed,Unspecified,Yes,0,No,TBC,No,This is a Qatargas Berth.,No specific requirements,Complete when below 1% volume,No,/Uploads/terminal_146.jpg,Pneumatic,Not applicable,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""TextField2"",""value"":""Middle East, Pakistan and India"",""modifiedTime"":""20240207-153703""},{""classification"":""TerminalDetails"",""name"":""DepthatBerth"",""value"":""Unspecified"",""modifiedTime"":""20240409-124507""}]",[],No further comments,,25.91030556,51.58744444,
144,Ras Laffan LNG 2 ,Qatar,Ras Laffan,In operation,Load,/Date(1748877294051)/,/Date(1712663069245)/,michael.youel@seapeak.com,315,55,"105,000",N/A,12.5,13.5,Day/Night,Port,0.12,Unspecified,Unspecified,Low; -0.76 High; 0.97,1025,"1,460,000",100-110 ,-130,"38,700","15,400",L-V-L-L,"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Not required,By shore,Unspecified,14.76 - 23.47,Electrical,Not required ,Yes,17.8,Aft,Unspecified,No,To be advised later,1 mile of fairway buoy,No specific requirements,11m tails,Yes,345.7,None,All onsigning/offsigning ship crews are allowed to access the berths however required to report and log in their entry with security guard.,4 tugs for berthing and unberthing,(4 x 55/60T & 4 x 80T BP ASD Tugs),Yes,Bunkering allowed,Unspecified,Yes,0,No,TBC,No,This is a Rasgas Berth.,No specific requirements,Complete when below 1% volume,No,/Uploads/terminal_144.jpg,Optical Fiber,Not applicable,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153635""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153635""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153635""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153635""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153635""},{""classification"":""TerminalDetails"",""name"":""DepthatBerth"",""value"":""Unspecified"",""modifiedTime"":""20240409-124429""}]",[],No further comments,,25.91030556,51.58744444,
135,Qalhat,Oman,Qalhat,In operation,Load,/Date(1748877284659)/,/Date(1731921373068)/,michael.youel@seapeak.com,315,N/A,"143,400",N/A,12.4,17.7,Day/Night,Both,0.16,Unspecified,1,Low; -0.1 High; 3.42,1025,"240,000",N/A,-162,"25,000","10,000",L-V-L-L,"16"" ANSI 150 QC/DC",SIGTTO standard,SIGTTO standard,Unspecified,By ship,60,18.0 - 26.0,Optical Fiber,N/A,Yes,18,East,Unspecified,No,N/A,"22° 43.0’N,59° 27.5’E","FWD 2/4/2 AFT 2/4/2 Both side - Nylon tails to be used, 22m for Head/Breast, 11m Springs",Synthetic tail ropes must be renewed at intervals not exceeding 18 months unless inspections indicate a shorter period is warranted.,OCIMF,573,None,Crew is not permitted,4 tugs for berthing unberthing,272 (4 x 68T BP Tugs),Yes,No bunkering or stores permitted. No garbage facilities available.,Unspecified,Yes,2,No,Preferrably cooled on berthing,No,Pan Union vessels NEED 11m Nylon rope tails prior to arrival.,No specific requirements,O2 content less than 1%,No,/Uploads/terminal_135.jpg,Electrical,Not applicable,N/A,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-144937""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-144937""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-144937""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-144937""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-144937""},{""classification"":""TerminalDetails"",""name"":""MooringArrangement"",""value"":""FWD 2/4/2 AFT 2/4/2 Both side"",""modifiedTime"":""20240209-141030""},{""classification"":""TerminalDetails"",""name"":""Notes"",""value"":""Nothing to report."",""modifiedTime"":""20241118-091613""}]",[],Side Letter Required,,22.66,59.40666667,
171,"Yung An, North (Berth C)",Taiwan,Yung An ,In operation,Discharge,/Date(1748877214926)/,/Date(1707319935130)/,michael.youel@seapeak.com,300,50,Unspecified,N/A,11,14.25 (13.25 in the turning circle),Day,Port,0.05,Unspecified,1,Low; 0.00 High; 1.60,1025,"690,000",Unspecified,-159,"13,300","12,000",L-L-V-L,"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Not required,By shore,60,15.03 - 26.03,Optical Fiber,ITT Canon,Yes,19.1,Aft,Unspecified,No,To be advised later,2.5 nm from breakwater,16 lines (2/4/2-2/4/2),None,Yes,299,None,Crew change and shore leave are permitted,At least 3 tugs for berthing and unberthing,"4* 3400HP, 1* 3600HP",Yes,"Bunkering, and stores are allowed",After the Ship arrives at the Yung-An Port Anchorage area,,0,No,TBC,Yes,Nothing to report.,2 Pilots (during daylight to 2 pm),Unspecified,No,/Uploads/terminal_171_636059923182205132.jpg,Pneumatic,Electrical,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153215""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153215""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153215""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153215""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153215""}]",[],No further comments,,22.81080556,120.2047222,
172,"Yung An, East (Berth A)",Taiwan,Yung An ,In operation,Discharge,/Date(1748877196071)/,/Date(1707319949552)/,michael.youel@seapeak.com,300,50,Unspecified,N/A,11,14.25 (13.25 in the turning circle),Day,Port,0.15,Unspecified,1,Low; -0.04 High; 1.99,1025,"690,000",140 - 150,-159,"13,300","12,000",L-V-L-L,"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Not required,By shore,Unspecified,14.53 - 27.56,Pneumatic,ITT Canon,Yes,15.15,Forward,Unspecified,No,To be advised later,2.5 nm from breakwater,16 lines (2/4/2-2/4/2),None,Yes,188,None,Crew change and shore leave are permitted,At least 3 tugs for berthing and unberthing,"4 x 3400HP, 1 x 3600HP",Yes,"Bunkering, stores are allowed",After the Ship arrives at the Yung-An Port Anchorage area,No,0,No,Local charts required.,Yes,Nothing to report.,2 Pilots (during daylight to 2 pm),Unspecified,No,/Uploads/terminal_172_636059923234236049.jpg,Not applicable,Not applicable,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153229""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153229""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153229""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153229""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153229""}]",[],No further comments,,22.81080556,120.2047222,
104,Tobata,Japan,Tobata,In operation,Discharge,/Date(1748877057966)/,/Date(1707318434115)/,michael.youel@seapeak.com,297.5,49,"112,823",N/A,11.7,13,Day,Port,0.15,Unspecified,1, Low; -0.295 High; 2.8,Unspecified,"460,000",Unspecified,N/A,"27,000","12,300",L-L-V-L,"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Unspecified,By ship,60,18.3 - 25.3,Optical Fiber,Not required,Yes,15.9,Aft,1.3 x 1.3,No,To be advised later,33° 13' 00'' N 131° 58' 00'' E,16 lines (2/4/2-2/4/2),None,Yes,164,Unspecified,Crew leave permitted but all personnel shall in possiession of a crew landing or customs permit when leaving/returning to the vessel,4 for berthing and 3 for unberthing,"7 tugs; 5 x 3400 HP, 1 x 3500 HP, 1 x 3200 HP",Yes,Bunkering and stores allowed,Unspecified,No,0,No,TBC,No,Preferable to adjust ETA to pilot station as required from your voyage instructions. There is not much area were to waste time in between islands and the Japanese Coast Guard will tell you to come out to high seas to adjust your ETA.,Two (2) Pilots boarded at Mutsure PBG. ,"Upon arrival at the terminal manifolds are purged until the O2 content of the manifolds is less than 1%. Upon completion of discharge procedure, vapour line purge is completed when methane contents less than 1%",No,,Pneumatic,Not applicable,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-150714""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-150714""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-150714""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-150714""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-150714""}]",[],No further comments,,33.90772,130.820137,
183,Grain LNG Berth#8 (No 2),UK,Isle of Grain,In operation,Discharge / Load,/Date(1748877011678)/,/Date(1707320122634)/,michael.youel@seapeak.com,345,56.5,"184,000",N/A,14,14.5,Day,Port,0.14,Unspecified,0.5,Low; -0.2 High; 6.2,1025,"1,000,000",175,Unspecified,As required to maintain cargo tank pressure ,"12,000",L-L/V-V-L-L (looking seaward),"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Unspecified,By shore,60,17.6 - 33.34,Electrical,Not required ,Yes,19.5,Aft,Unspecified,No,To be advised later,"51° 25’N,  001° 29.9’E, For deeper draught vessels; 51° 29’N 00° 34’E;",No specific requirements,BD’s have 3 x 150 tonne SWL quick release hooks and the MD’s have 4 x 150 tonne SWL quick release hooks,Yes,275,None,Crew change and shore leave are permitted,Allocation of tugs for arrival and departure will be at the discretion of the vessel Master and Medway Port Pilot based on prevailing circumstance,"245 (1 x 50 T tug, 3 x 65 T ASD tugs)",Yes,Bunkering/stores by prior arrangement by barge. Garbage collection available,At Pilot Boarding Station,No,0,Yes,An additional towing pennant will be supplied by tug through centre lead aft for vessels on jetty 8will be supplied by tug through centrelead aft for vessels on jetty 8,No,Nothing to report.,No specific requirements,Unspecified,No,/Uploads/terminal_183_636059925314222737.jpg,Electrical,Electrical,TBC,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153522""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153522""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153522""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153522""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153522""}]",[],Master is NOT required to sign any ’Conditions of Use’ (COU) or ‘Port Liability Agreement’ (PLA).,,51.432675,0.704978,
184,Grain LNG Berth#10 (No 1),UK,Isle of Grain,In operation,Discharge / Load,/Date(1748876992770)/,/Date(1707320135837)/,michael.youel@seapeak.com,318,50,"149,100",N/A,12,12.5,Day,Port,0.15,Unspecified,0.5,Low; -0.2 High; 6.2,1025,"1,000,000",175,Unspecified,Unspecified,"12,000",L-L-V-L/V-L (looking seaward),"16"" ANSI 150 RF",Raised Face,SIGTTO standard,Unspecified,By shore,60,16.1 - 32.2,Optical Fiber,Not required ,Yes,17,Aft,Unspecified,No,To be advised later,"51° 25’N,  001° 29.9’E, For deeper draught vessels;         51° 29’N 00° 34’E;",16 lines (3/3/2 2/3/3),BD’s have 2 x 125 tonne SWL quick release hooks and the MD’s have 3 x 125 tonne SWL quick release hooks,Yes,320,None,Crew change and shore leave are permitted,Allocation of tugs for arrival and departure will be at the discretion of the vessel Master and Medway Port Pilot based on prevailing circumstance,"245 (1 x 50 T tug, 3 x 65 T ASD tugs)",Yes,Bunkering/stores by prior arrangement by barge. Garbage collection available,At the Pilot Boarding Station,No,0,Yes,TBC,No,Nothing to report.,No specific requirements,Unspecified,No,/Uploads/terminal_184_636059925286722913.jpg,Electrical,Not applicable,Average Maximum Mooring Line Tension Observed: 40 t,Yes,To be advised later,To be advised later,To be advised later,To be advised later,[],"[{""classification"":""TerminalDetails"",""name"":""DataStatus"",""value"":""Updated"",""modifiedTime"":""20240207-153535""},{""classification"":""TerminalDetails"",""name"":""NOxSOxCO2"",""value"":"""",""modifiedTime"":""20240207-153535""},{""classification"":""TerminalDetails"",""name"":""Garbage"",""value"":"""",""modifiedTime"":""20240207-153535""},{""classification"":""TerminalDetails"",""name"":""BallastWater"",""value"":"""",""modifiedTime"":""20240207-153535""},{""classification"":""TerminalDetails"",""name"":""BilgeSewage"",""value"":"""",""modifiedTime"":""20240207-153535""}]",[],Master is NOT required to sign any ’Conditions of Use’ (COU) or ‘Port Liability Agreement’ (PLA).,,51.432675,0.704978,
