Terminal Name,Terminal Country,Terminal UUID,Terminal Type,Direction,Connected Terminal Name,Connected Terminal Country,Connected Terminal UUID,Connected Terminal Type,Transit Points,Distance_(NM)_Masterinput,Distance_(NM)_DDT,Distance_(NM)_atobviac,Distance_(NM)_veson,Notes,,Summary Statistics:
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Combined to,Dahej,India,00319332-b16d-479e-9098-0d19c578a931,Import,None,,,,,,,----------------------------------------
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Argentina LNG,Argentina,0033833f-3403-4397-97e3-2ccb9aedb62c,Export,Cape of Good Hope,,,,,,,Combined Terminals: 4
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Bintulu,Malaysia,003342b7-ba5b-4f0e-b6df-4d95837a5691,Export,None,,,,,,,Export Terminals: 41
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Bonny LNG,Nigeria,0034fc9c-bb57-42b6-a91b-6f08c3795a25,Export,None,,,,,,,Import Terminals: 66
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Cove Point,USA,003e8539-3a98-48fa-b35d-0ba061beea4e,Export,Suez,,,,,,,
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Das Island,UAE,003b48e3-aedd-417c-8ea3-2d1dd434d8a9,Export,None,,,,,,,Connection Types:
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Freeport,USA,0039b921-cc5c-47e3-9a31-9dfb0c55d345,Export,"Suez, Cape of Good Hope",,,,,,,Combined to: 5
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,GLNG,Australia,003390dc-0918-485a-ba91-12465d2f1890,Export,None,,,,,,,Export to: 688
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Hammerfest,Norway,003f92ce-86d5-4d03-9761-311036c47812,Export,"Cape of Good Hope, Suez",,,,,,,Import from: 693
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,NWS,Australia,00381c87-4180-4430-80f1-bf828099124f,Export,None,,,,,,,
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Qalhat,Oman,003627f4-c752-4ce4-9ae7-7ad0fa6e53ce,Export,None,,,,,,,Transit Points Usage:
Al Zour,Kuwait,0030fe3d-20b4-4faf-9d8e-3e1c9b049f2e,Combined,Import from,Ras Laffan,Qatar,003f9d1b-b4ad-4de9-8c8d-bd7fbcacd3df,Export,None,,,,,,,"Suez, Cape of Good Hope: 172"
